county_name,sample_date,parameter,result,reporting_limit,units
Alameda,06/15/1977 00:00,Total Hardness,362,1.00000000,mg/L as CaCO3
Alameda,06/30/1986 13:35,Total Hardness,358,1.00000000,mg/L as CaCO3
Alameda,07/17/1984 14:10,Total Hardness,349,1.00000000,mg/L as CaCO3
Alameda,09/09/1974 00:00,Total Hardness,291,1.00000000,mg/L as CaCO3
Alameda,05/10/1976 00:00,Total Hardness,338,1.00000000,mg/L as CaCO3
Alameda,06/04/1979 15:15,Total Hardness,364,1.00000000,mg/L as CaCO3
Alameda,07/07/1975 00:00,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,07/07/1987 13:45,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,07/12/1977 14:00,Total Hardness,343,1.00000000,mg/L as CaCO3
Alameda,08/08/1983 13:35,Total Hardness,344,1.00000000,mg/L as CaCO3
Alameda,09/09/1974 00:00,Total Hardness,345,1.00000000,mg/L as CaCO3
Alameda,10/20/1981 11:50,Total Hardness,352,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 14:45,Total Hardness,250,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 12:35,Total Hardness,335,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 09:30,Total Hardness,278,1.00000000,mg/L as CaCO3
Alameda,08/19/1976 13:30,Total Hardness,305,1.00000000,mg/L as CaCO3
Alameda,08/21/1978 13:00,Total Hardness,306,1.00000000,mg/L as CaCO3
Alameda,07/28/1976 14:45,Total Hardness,276,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 13:00,Total Hardness,142,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 09:15,Total Hardness,235,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 12:30,Total Hardness,298,1.00000000,mg/L as CaCO3
Alameda,01/24/1977 00:00,Total Hardness,372,1.00000000,mg/L as CaCO3
Alameda,05/01/1975 00:00,Total Hardness,366,1.00000000,mg/L as CaCO3
Alameda,05/07/1974 00:00,Total Hardness,364,1.00000000,mg/L as CaCO3
Alameda,05/11/1976 00:00,Total Hardness,358,1.00000000,mg/L as CaCO3
Alameda,06/04/1979 14:15,Total Hardness,372,1.00000000,mg/L as CaCO3
Alameda,07/07/1987 14:25,Total Hardness,362,1.00000000,mg/L as CaCO3
Alameda,07/13/1981 10:00,Total Hardness,362,1.00000000,mg/L as CaCO3
Alameda,08/08/1983 14:00,Total Hardness,372,1.00000000,mg/L as CaCO3
Alameda,12/18/1985 11:25,Total Hardness,398,1.00000000,mg/L as CaCO3
Alameda,05/08/1986 14:00,Total Hardness,314,1.00000000,mg/L as CaCO3
Alameda,06/03/1988 13:35,Total Hardness,320,1.00000000,mg/L as CaCO3
Alameda,07/12/1977 09:25,Total Hardness,348,1.00000000,mg/L as CaCO3
